slide_id,patient_id,file_name,path,file_size,read_ok,features_shape,coords_shape,coords_key,n_patches,feature_dim,has_coords,error
TCGA-VQ-A8DU-01Z-00-DX1.12DD8768-1315-472E-801D-F44A418BEA41,TCGA-VQ-A8DU,TCGA-VQ-A8DU-01Z-00-DX1.12DD8768-1315-472E-801D-F44A418BEA41.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8DU-01Z-00-DX1.12DD8768-1315-472E-801D-F44A418BEA41.h5,73469112,True,"[1, 11787, 1536]","[1, 11787, 2]",coords,11787,1536,True,
TCGA-VQ-A8DV-01Z-00-DX1.DB668CCB-E5C9-49D8-9F0B-2548AA1C3E69,TCGA-VQ-A8DV,TCGA-VQ-A8DV-01Z-00-DX1.DB668CCB-E5C9-49D8-9F0B-2548AA1C3E69.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8DV-01Z-00-DX1.DB668CCB-E5C9-49D8-9F0B-2548AA1C3E69.h5,85876368,True,"[1, 13778, 1536]","[1, 13778, 2]",coords,13778,1536,True,
TCGA-VQ-A8DZ-01Z-00-DX1.3C4CB10D-8C8B-4828-B7D4-7058BDF4D39F,TCGA-VQ-A8DZ,TCGA-VQ-A8DZ-01Z-00-DX1.3C4CB10D-8C8B-4828-B7D4-7058BDF4D39F.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8DZ-01Z-00-DX1.3C4CB10D-8C8B-4828-B7D4-7058BDF4D39F.h5,78629616,True,"[1, 12615, 1536]","[1, 12615, 2]",coords,12615,1536,True,
TCGA-VQ-A8E0-01Z-00-DX1.81F45F4C-5D39-4C76-9888-064D53C9A80D,TCGA-VQ-A8E0,TCGA-VQ-A8E0-01Z-00-DX1.81F45F4C-5D39-4C76-9888-064D53C9A80D.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8E0-01Z-00-DX1.81F45F4C-5D39-4C76-9888-064D53C9A80D.h5,117090744,True,"[1, 18788, 1536]","[1, 18788, 2]",coords,18788,1536,True,
TCGA-VQ-A8E2-01Z-00-DX1.6B105EA8-4AF5-4CE0-B5B9-46332130B037,TCGA-VQ-A8E2,TCGA-VQ-A8E2-01Z-00-DX1.6B105EA8-4AF5-4CE0-B5B9-46332130B037.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8E2-01Z-00-DX1.6B105EA8-4AF5-4CE0-B5B9-46332130B037.h5,135253600,True,"[1, 21703, 1536]","[1, 21703, 2]",coords,21703,1536,True,
TCGA-VQ-A8E3-01Z-00-DX1.2CEA9979-EC34-48E2-A092-55757506490A,TCGA-VQ-A8E3,TCGA-VQ-A8E3-01Z-00-DX1.2CEA9979-EC34-48E2-A092-55757506490A.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8E3-01Z-00-DX1.2CEA9979-EC34-48E2-A092-55757506490A.h5,58710208,True,"[1, 9418, 1536]","[1, 9418, 2]",coords,9418,1536,True,
TCGA-VQ-A8E7-01Z-00-DX1.30F18F35-5E77-429B-9840-27E60F5129B8,TCGA-VQ-A8E7,TCGA-VQ-A8E7-01Z-00-DX1.30F18F35-5E77-429B-9840-27E60F5129B8.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8E7-01Z-00-DX1.30F18F35-5E77-429B-9840-27E60F5129B8.h5,100111752,True,"[1, 16063, 1536]","[1, 16063, 2]",coords,16063,1536,True,
TCGA-VQ-A8P2-01Z-00-DX1.0515199A-B84D-4973-ACAB-30B919F99FB8,TCGA-VQ-A8P2,TCGA-VQ-A8P2-01Z-00-DX1.0515199A-B84D-4973-ACAB-30B919F99FB8.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8P2-01Z-00-DX1.0515199A-B84D-4973-ACAB-30B919F99FB8.h5,132300848,True,"[1, 21229, 1536]","[1, 21229, 2]",coords,21229,1536,True,
TCGA-VQ-A8P3-01Z-00-DX1.1B018BDB-5C60-46D8-A014-CE8CA8ADA191,TCGA-VQ-A8P3,TCGA-VQ-A8P3-01Z-00-DX1.1B018BDB-5C60-46D8-A014-CE8CA8ADA191.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8P3-01Z-00-DX1.1B018BDB-5C60-46D8-A014-CE8CA8ADA191.h5,61417744,True,"[1, 9853, 1536]","[1, 9853, 2]",coords,9853,1536,True,
TCGA-VQ-A8P5-01Z-00-DX1.F3FDCB47-3426-400C-82A9-750012F95B3B,TCGA-VQ-A8P5,TCGA-VQ-A8P5-01Z-00-DX1.F3FDCB47-3426-400C-82A9-750012F95B3B.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8P5-01Z-00-DX1.F3FDCB47-3426-400C-82A9-750012F95B3B.h5,72019280,True,"[1, 11554, 1536]","[1, 11554, 2]",coords,11554,1536,True,
