model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M2_msi,0.84,-0.1358131487889273,-4.233564013840829,0.0,29,13,289
M2_msi,0.85,-0.15455594002306805,-4.582468281430218,0.0,29,13,289
M2_msi,0.86,-0.175976272862086,-4.981216015818092,0.0,29,13,289
M2_msi,0.87,-0.20415224913494812,-5.441309555496406,0.0,28,13,289
M2_msi,0.88,-0.2329873125720877,-5.978085351787774,0.0,28,13,289
M2_msi,0.89,-0.26706511481597994,-6.612456747404845,0.0,28,13,289
M2_msi,0.9,-0.30795847750865063,-7.37370242214533,0.0,28,13,289
M2_msi,0.91,-0.32641291810841994,-8.3041138023837,0.0,27,12,289
M2_msi,0.92,-0.34429065743944665,-9.467128027681666,0.0,27,11,289
M2_msi,0.93,-0.4157192288680182,-10.962432031636192,0.0,26,11,289
M2_msi,0.94,-0.5063437139561701,-12.956170703575534,0.0,26,11,289
M2_msi,0.95,-0.633217993079584,-15.747404844290642,0.0,26,11,289
M2_msi,0.96,-0.8235294117647051,-19.934256055363303,0.0,26,11,289
M2_msi,0.97,-1.0322952710495954,-26.91234140715107,0.0,25,10,289
M2_msi,0.98,-1.4429065743944622,-40.868512110726606,0.0,24,9,289
M2_msi,0.99,-2.9999999999999973,-82.73702422145321,0.0,24,9,289
M3_ebv,0.01,0.037782671000664084,0.0807731292160358,0.0,11,8,289
M3_ebv,0.02,0.03410776075135937,0.071393263187628,0.0,10,7,289
M3_ebv,0.03,0.034066992473156636,0.061819997859665396,0.0,10,5,289
M3_ebv,0.04,0.030420991926182236,0.05204728950403691,0.0,9,5,289
M3_ebv,0.05,0.03023128756146421,0.04206883991986888,0.0,9,5,289
M3_ebv,0.06,0.030037546933667083,0.031878082897739836,0.0,9,5,289
M3_ebv,0.07,0.029839639840756035,0.021468169810618734,0.0,9,5,289
M3_ebv,0.08,0.029637430419738226,0.010831954265082003,0.0,9,5,289
M3_ebv,0.09,0.029430776835621123,-3.8024259477534295e-05,0.0,9,5,289
M3_ebv,0.1,0.029219530949634753,-0.011149557862360632,0.0,9,5,289
M3_ebv,0.11,0.02900353796508689,-0.022510788849578148,0.0,9,5,289
M3_ebv,0.12,0.028782636049072035,-0.03413022963195972,0.0,9,5,289
M3_ebv,0.13,0.028556655928091316,-0.04601678399554547,0.0,9,5,289
M3_ebv,0.14,0.024865212843003137,-0.05817976985595881,0.0,8,5,289
M3_ebv,0.15,0.024628536535721557,-0.07062894361897008,0.0,8,5,289
M3_ebv,0.16,0.025045312242544075,-0.08337452628110069,0.0,8,4,289
M3_ebv,0.17,0.024846792012340017,-0.09642723141701755,0.0,8,4,289
M3_ebv,0.18,0.024643429825301714,-0.10979829521478603,0.0,8,4,289
M3_ebv,0.19,0.020974838737237815,-0.12349950873595623,0.0,7,4,289
M3_ebv,0.2,0.020761245674740483,-0.1375432525951557,0.0,7,4,289
M3_ebv,0.21,0.020542245192939425,-0.15194253427357535,0.0,7,4,289
